::ffff:127.0.0.1 - - [21/Mar/2024:19:55:22 +0000] "GET /personnels HTTP/1.1" 403 82 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [21/Mar/2024:20:45:40 +0000] "GET /documents/swagger/ HTTP/1.1" 404 157 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [21/Mar/2024:20:47:00 +0000] "GET /documents/swagger/ HTTP/1.1" 404 157 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [21/Mar/2024:20:47:01 +0000] "GET /documents/swagger/ HTTP/1.1" 404 157 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [21/Mar/2024:20:47:01 +0000] "GET /documents/swagger/ HTTP/1.1" 404 157 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [21/Mar/2024:20:47:01 +0000] "GET /documents/swagger/ HTTP/1.1" 404 157 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [21/Mar/2024:20:47:02 +0000] "GET /documents/swagger/ HTTP/1.1" 404 157 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [21/Mar/2024:20:47:07 +0000] "GET /documents/swagger/ HTTP/1.1" 404 157 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [21/Mar/2024:20:47:07 +0000] "GET /documents/swagger/ HTTP/1.1" 404 157 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [21/Mar/2024:20:48:41 +0000] "POST /departments/ HTTP/1.1" 403 82 "http://127.0.0.1:8000/documents/swagger/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [21/Mar/2024:20:48:43 +0000] "POST /departments/ HTTP/1.1" 403 82 "http://127.0.0.1:8000/documents/swagger/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
